EMP_ID,Education,G_School,Major
000569,大學                  ,明新科技大學                                  ,企業管理學系                                  
000570,高職                  ,私立育民工家進修學校                              ,幼兒保育(科)                                 
000573,高職                  ,大湖農工                                    ,普通科                                     
000574,高職                  ,國立大湖農工                                  ,食品加工科                                   
000575,大學                  ,開南大學                                    ,企業管理學系                                  
000578,高職                  ,私立忠信高中                                  ,資料處理科                                   
000579,二技                  ,中華醫專科技大學                                ,幼兒保育系                                   
000583,五專                  ,仁德醫護專科學校                                ,應用外語系                                   
000586,高職                  ,國立台南家齊女中                                ,家政科                                     
000589,高職                  ,新力工家                                    ,資料處理科                                   
000591,三專                  ,仁德醫護管理專校                                ,護理科                                     
000592,高中                  ,國立苗栗高中                                  ,普通科                                     
000594,大學                  ,嘉南藥理科技大學                                ,環境工程系                                   
000596,高職                  ,私立民生家商                                  ,美容(科)                                   
000602,高中                  ,苗栗高中                                    ,普通科                                     
000609,三專                  ,中國技術學院                                  ,國際貿易系                                   
000611,高職                  ,關西高農                                    ,家政科                                     
000612,二專                  ,台中技術學院                                  ,資訊管理科                                   
000613,高職                  ,健臺高級中學                                  ,綜合商科                                    
000615,高職                  ,忠信高中                                    ,商業經營科                                   
000629,高職                  ,十信工商                                    ,資料處理科                                   
000632,高職                  ,桃園農工                                    ,畜產保健科                                   
000635,大學                  ,元培科技大學                                  ,企業管理系                                   
000636,三專                  ,大同商專                                    ,企業管理科                                   
000637,四技                  ,台北科技大學進修學院                              ,工業工程與管理系                                
000642,二專                  ,永達工商專校                                  ,工業工程管理系                                 
000643,高職                  ,光復高中                                    ,商科                                      
000644,高職                  ,家齊女中                                    ,餐飲科                                     
000645,大學                  ,中國科技大學                                  ,資訊工程系                                   
000646,高職                  ,三信家商                                    ,商用日文組                                   
000648,大學                  ,明新科技大學                                  ,工業工程與管理系                                
000651,二技                  ,明新科技大學                                  ,企業管理系                                   
000652,高職                  ,光復中學                                    ,餐飲科                                     
000654,高職                  ,永平工商                                    ,餐飲管理科                                   
000658,二專                  ,南亞技術學院                                  ,企業管理科                                   
000659,高職                  ,屏榮商工                                    ,會計事務科                                   
000660,高中                  ,曙光女中                                    ,普通科                                     
000663,高職                  ,國立土庫商工                                  ,商用資訊科                                   
000664,高職                  ,光復高中                                    ,資料處理科                                   
000665,高職                  ,大成中學                                    ,資料處理                                    
000666,高中                  ,國立竹東高中                                  ,普通科                                     
000671,高職                  ,育達商職                                    ,國際貿易科                                   
000673,大學                  ,大華科技                                    ,工管系                                     
000674,高職                  ,東泰高職                                    ,美容美髮                                    
000675,二技                  ,明新科技大學                                  ,資訊管理系                                   
000676,高職                  ,卓蘭實驗高級中學                                ,商業經營                                    
000678,高中                  ,磐石高中                                    ,商業經營科                                   
000679,大學                  ,大華技術學院                                  ,觀光休閒管理                                  
000680,五專                  ,明新科大                                    ,資管科                                     
000681,大學                  ,大華技術學院                                  ,應用英文                                    
000682,大學                  ,弘光科技大學                                  ,生物科技系                                   
